	APMC	commodity	year	arrivals_in_qtl	min_price	max_price	modal_price	date	district_name	state_name
0	4	7	2015	79	1406	1538	1463	4	0	0
1	4	7	2016	106	1788	1925	1875	4	0	0
2	4	197	2015	1253	1572	1890	1731	4	0	0
3	4	197	2016	387	1750	2220	1999	4	0	0
4	4	169	2015	3825	1600	2200	1900	4	0	0
5	4	169	2016	2093	1695	2454	2119	4	0	0
6	4	106	2015	75	1345	1401	1373	4	0	0
7	4	106	2016	155	1367	1392	1375	4	0	0
8	4	68	2015	1794	3533	3762	3647	4	0	0
9	4	68	2016	630	4790	5553	5216	4	0	0
10	4	85	2015	3	7150	7150	7150	4	0	0
11	4	113	2015	1	7500	7500	7500	4	0	0
12	4	143	2015	144	4993	5373	5233	4	0	0
13	4	143	2016	33	6900	7700	7329	4	0	0
14	4	18	2015	7	5700	5700	5700	4	0	0
15	4	18	2016	2	7500	7500	7500	4	0	0
16	4	30	2015	3	3313	3313	3313	4	0	0
17	4	171	2015	12	2900	3400	3150	4	0	0
18	4	171	2016	20	2200	3900	3603	4	0	0
19	4	89	2016	2611	2950	3550	3263	4	0	0
20	4	102	2016	106	2750	6625	5500	4	0	0
21	4	64	2016	46	1667	3000	2500	4	0	0
22	4	148	2016	510	767	1367	1133	4	0	0
23	4	99	2016	58	1067	4000	3000	4	0	0
24	4	55	2016	180	625	3375	2138	4	0	0
25	4	28	2016	57	900	1400	1250	4	0	0
26	4	37	2016	46	4250	6875	5750	4	0	0
27	4	60	2016	3	4500	6000	5250	4	0	0
28	4	62	2016	5	1333	3667	2833	4	0	0
29	4	111	2016	23	1000	2000	1500	4	0	0
30	4	44	2016	202	500	2050	1500	4	0	0
31	4	126	2015	186700	114	1459	797	4	0	0
32	4	126	2016	42342	100	938	538	4	0	0
33	4	17	2016	8	5000	6333	5667	4	0	0
34	4	25	2016	195	275	900	675	4	0	0
35	4	58	2016	14	4500	6000	5250	4	0	0
36	4	112	2016	12	5	13	10	4	0	0
37	4	26	2016	68	1333	3167	2500	4	0	0
38	4	190	2016	334	350	875	700	4	0	0
39	4	21	2016	120	625	2625	2000	4	0	0
40	4	185	2015	11701	5486	9309	7398	4	0	0
41	4	185	2016	9150	6989	10229	8481	4	0	0
42	4	186	2015	8	1480	1480	1480	4	0	0
43	4	186	2016	215	1804	1804	1804	4	0	0
44	4	40	2015	151	7000	12000	9500	4	0	0
45	4	40	2016	269	6900	9600	8250	4	0	0
46	4	70	2016	138	3333	7000	5333	4	0	0
47	4	35	2015	792	5284	8952	7118	4	0	0
48	4	35	2016	1900	7925	12313	10185	4	0	0
49	4	119	2015	22	3617	3617	3617	4	0	0
50	4	119	2016	2	3800	3800	3800	4	0	0
51	11	7	2015	52	1357	1800	1525	4	0	0
52	11	7	2016	75	1460	1960	1685	4	0	0
53	11	134	2015	113	1450	1925	1625	4	0	0
54	11	134	2016	448	1500	2017	1704	4	0	0
55	11	197	2015	164	1450	1975	1644	4	0	0
56	11	197	2016	115	1517	2150	1725	4	0	0
57	11	68	2015	39	3200	3500	3350	4	0	0
58	11	68	2016	70	3767	4833	4383	4	0	0
59	11	171	2015	285	3000	3450	3250	4	0	0
60	11	171	2016	378	3400	3883	3683	4	0	0
61	11	126	2015	105645	106	1389	849	4	0	0
62	11	126	2016	56372	150	973	662	4	0	0
63	11	84	2016	34	5000	7000	6000	4	0	0
64	120	7	2015	164	1304	1446	1375	4	0	0
65	120	7	2016	45	1513	1742	1627	4	0	0
66	120	197	2015	735	1856	2256	2056	4	0	0
67	120	197	2016	46	2132	2268	2200	4	0	0
68	120	169	2015	20890	1800	2800	2300	4	0	0
69	120	169	2016	24391	1861	2933	2397	4	0	0
70	120	68	2015	931	3175	3397	3286	4	0	0
71	120	68	2016	521	4088	4833	4460	4	0	0
72	120	143	2016	191	6825	7452	7143	4	0	0
73	120	171	2016	99	3084	3466	3275	4	0	0
74	120	126	2015	5232	106	1469	788	4	0	0
75	120	126	2016	7587	100	939	519	4	0	0
76	160	7	2015	354	1164	1469	1401	4	0	0
77	160	7	2016	388	1603	2018	1750	4	0	0
78	160	197	2015	9668	1302	1713	1529	4	0	0
79	160	197	2016	1028	1486	1861	1652	4	0	0
80	160	169	2015	672	1070	1421	1324	4	0	0
81	160	169	2016	2038	1445	1974	1770	4	0	0
82	160	106	2015	389	1156	1257	1226	4	0	0
83	160	106	2016	284	1373	1445	1418	4	0	0
84	160	68	2015	2378	3214	3822	3681	4	0	0
85	160	68	2016	748	4492	5435	5276	4	0	0
86	160	143	2015	6	4880	4921	4900	4	0	0
87	160	171	2015	329	3244	3590	3517	4	0	0
88	160	171	2016	175	3728	3950	3893	4	0	0
89	160	34	2015	1107	500	2200	1120	4	0	0
90	160	126	2015	34179	395	1350	988	4	0	0
91	160	126	2016	18750	250	845	701	4	0	0
92	224	7	2015	32	1282	1293	1286	4	0	0
93	224	7	2016	2	1750	1750	1750	4	0	0
94	224	197	2015	575	1450	1511	1481	4	0	0
95	224	197	2016	135	1608	1900	1667	4	0	0
96	224	169	2015	25	1550	1550	1550	4	0	0
97	224	169	2016	37	1658	1708	1679	4	0	0
98	224	106	2015	13	1310	1310	1310	4	0	0
99	224	68	2015	180	3200	3271	3229	4	0	0
100	224	68	2016	64	4383	4783	4483	4	0	0
101	224	185	2015	23	1200	1225	1213	4	0	0
102	224	185	2016	5	2350	2350	2350	4	0	0
103	225	126	2015	186038	285	1342	977	4	0	0
104	225	126	2016	231700	200	921	717	4	0	0
105	241	126	2015	78184	500	1430	965	4	0	0
106	241	126	2016	144673	300	919	685	4	0	0
107	246	41	2015	470	3760	3860	3807	4	0	0
108	246	7	2015	371	1259	1443	1317	4	0	0
109	246	7	2016	163	1285	1650	1449	4	0	0
110	246	197	2015	685	1489	2133	1761	4	0	0
111	246	197	2016	343	1583	2133	1855	4	0	0
112	246	169	2015	734	1528	1783	1648	4	0	0
113	246	169	2016	682	1573	1935	1740	4	0	0
114	246	68	2015	164	3300	3663	3494	4	0	0
115	246	68	2016	171	3683	4675	4458	4	0	0
116	246	126	2015	3133	238	1433	920	4	0	0
117	246	126	2016	4703	173	1605	696	4	0	0
118	262	7	2015	203	1168	1268	1223	4	0	0
119	262	7	2016	39	1511	1511	1511	4	0	0
120	262	197	2015	2698	1292	1589	1394	4	0	0
121	262	197	2016	346	1495	1677	1572	4	0	0
122	262	169	2015	589	1123	1315	1217	4	0	0
123	262	169	2016	543	1442	1611	1541	4	0	0
